name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply
Tether Gold,XAUt,2580.0362394240997,tokenized-gold,636040853.8877867,2580.0362394240997,3073192.38453566,246524
Tezos,XTZ,0.6265767450109834,pos,626862945.4098529,0.6265767450109834,10599747.18442015,1000456768.306753
SATS,1000SATS,0.0002879871506952762,bitcoin-ecosystem,604773016.46008,0.0002879871506952762,78548449.21338415,2100000000000
Gala,GALA,0.017387447427670948,collectibles-nfts,602464848.15172,0.017387447427670948,45334291.32978763,34649413069.85279
eCash,XEC,3.0483866153750024e-05,layer-1,602284365.8899124,3.0483866153750024e-05,5502850.48561112,19757479673090
Akash Network,AKT,2.4210905273070855,cosmos-ecosystem,601122385.5190006,2.4210905273070855,6180249.30728344,248285794.661141
Conflux,CFX,0.1336920999721223,mineable,592360344.0149819,0.1336920999721223,22127790.64606119,4430780458.52
The Sandbox,SAND,0.2435375280250814,collectibles-nfts,568960196.9132079,0.2435375280250814,29829246.97627955,2336232126.2233224
dYdX (Native),DYDX,0.8777398447499654,decentralized-exchange-dex-token,558082275.9922686,0.8777398447499654,12735012.46491426,635817411.4235921
Ethereum Name Service,ENS,16.516787209297252,dao,546087984.8856255,16.516787209297252,44811741.01467018,33062603.39651492
BinaryX,BNX,1.4383421657739286,gaming,537526091.3517569,1.4383421657739286,6819468.46803363,373712252.99685925
Nexo,NEXO,0.9481893199878048,services,530986029.62325317,0.9481893199878048,2714358.91666447,560000011
DOGS,DOGS,0.0010216081361553624,memes,527916004.3582835,0.0010216081361553624,272464426.4847043,516750000000
Pendle,PENDLE,3.250338819547543,olympus-pro-ecosystem,514893718.94851416,3.250338819547543,39379989.73841561,158412321.77148503
Ronin,RON,1.4588816448875397,platform,508411683.6143242,1.4588816448875397,4561284.41009757,348494125.8915599
Wormhole,W,0.19691635217524267,collectibles-nfts,507625464.4993625,0.19691635217524267,18036661.51692676,2577873594
Decentraland,MANA,0.26555544474729387,platform,506764730.5741591,0.26555544474729387,19432430.90802113,1908319865.391588
TrueUSD,TUSD,0.9987204678494801,store-of-value,494967414.48958796,0.9987204678494801,41588633.22860669,495601552.61
PAX Gold,PAXG,2578.691556353235,bnb-chain,489758205.2930957,2578.691556353235,5053215.47849645,189925.082
Klaytn,KLAY,0.12851209114442103,platform,488818715.5719495,0.12851209114442103,8129014.2530073,3803678791.7692375
Mina,MINA,0.4166696583006882,pos,482366037.8421757,0.4166696583006882,9354745.32826294,1157670178.8400393
PancakeSwap,CAKE,1.7558946093160648,collectibles-nfts,477658563.44824666,1.7558946093160648,18362001.2604854,272031453.8890797
